199;0.80;0.66
263;0.32;0.95
41;0.18;0.43
254;0.80;0.31
85;0.50;0.27
68;0.62;0.70
284;0.22;0.73
199;0.15;0.86
312;0.93;0.32
214;0.25;0.06
70;0.63;0.38
277;0.56;0.57
315;0.28;0.83
101;0.83;0.01
199;0.10;0.39
327;0.62;0.93
325;0.12;0.21
349;0.45;0.33
43;0.03;0.51
242;0.50;0.23
106;0.47;0.98
36;0.13;0.19
309;0.37;0.69
311;0.24;0.29
149;0.95;0.48
235;0.51;0.65
235;0.49;0.92
75;0.56;0.23
331;0.23;0.70
144;0.58;0.95
124;0.57;0.61
184;0.57;0.18
236;0.85;0.94
351;0.86;0.74
38;0.89;0.82
107;0.09;0.94
163;0.94;0.37
275;0.79;0.41
89;0.77;0.44
183;0.92;0.31
53;0.51;0.31
91;0.18;0.98
56;0.15;0.07
203;0.05;0.61
174;0.29;0.46
29;0.72;0.60
232;0.74;0.16
355;0.95;0.39
199;0.30;0.40
26;0.69;0.50
92;0.56;0.09
201;0.02;0.57
101;0.08;0.95
108;0.73;0.63
25;0.80;0.48
45;0.79;0.91
308;0.16;0.12
107;0.34;0.10
224;0.49;0.12
263;0.82;0.50
242;0.74;0.36
63;0.65;0.34
203;0.20;0.54
232;0.96;0.91
111;0.34;0.50
122;0.55;0.27
63;0.66;0.98
22;0.18;0.56
248;0.68;0.24
222;0.39;0.28
129;0.61;0.20
114;0.11;0.83
107;0.62;0.28
334;0.25;0.10
203;0.61;0.23
143;0.20;0.12
107;0.21;0.48
83;0.76;0.27
350;0.20;0.59
321;0.10;0.98
144;0.03;0.73
13;0.32;0.67
3;0.25;0.69
102;0.51;0.11
114;0.83;0.27
260;0.50;0.35
170;0.08;0.31
181;0.57;0.60
79;0.95;0.29
82;0.48;0.43
36;0.35;1.00
147;0.88;0.35
151;0.21;0.46
134;0.78;0.37
124;0.51;0.76
276;0.66;0.50
258;0.13;0.09
199;0.73;0.31
145;0.67;0.32
275;0.10;0.63
